family,accuracy_mean,accuracy_std,f1_mean,f1_std,precision_mean,precision_std,recall_mean,recall_std,fpr_mean,fpr_std,tpr_mean,tpr_std,query_time_mean,query_time_std,total_runs
matsnu,0.8930000000000002,0.034655446902326914,0.8953345628712996,0.03305831326052469,0.8787474588600059,0.042854883528713944,0.9140000000000001,0.039378505134992955,0.128,0.04969238707622459,0.9140000000000001,0.039378505134992955,0.013450115839640253,0.002095170190012785,30
suppobox,0.8800000000000002,0.0500666222813829,0.8784869327260907,0.05873871226090376,0.8755090047537728,0.04135868270946892,0.8880000000000001,0.09887365675446619,0.128,0.04969238707622459,0.8880000000000001,0.09887365675446619,0.01340540122985835,0.002040634550698962,30
charbot,0.7146666666666666,0.04088466161723191,0.6603127150126953,0.05287941683812091,0.8156816071138185,0.061427752003675624,0.5573333333333335,0.06060436361260539,0.128,0.04969238707622459,0.5573333333333335,0.06060436361260539,0.01332861876487727,0.0020186205425983175,30
gozi,0.7070000000000002,0.08602906485601249,0.6362345538106962,0.1213656420921748,0.8054516848764784,0.06637245310771102,0.5419999999999999,0.1764350683207092,0.128,0.04969238707622459,0.5419999999999999,0.1764350683207092,0.013402184883753408,0.0020486893803707443,30
manuelita,0.5156666666666667,0.042558456530074285,0.24485702090591818,0.08371240559332188,0.5471224814916765,0.15695935033551078,0.15933333333333335,0.058076577799392494,0.128,0.04969238707622459,0.15933333333333335,0.058076577799392494,0.01344825045267736,0.00209794115170494,30
rovnix,0.92,0.024494897427831768,0.9240027775370894,0.02209894874960596,0.8851562052219042,0.03880449507185777,0.968,0.025612496949731396,0.128,0.04969238707622459,0.968,0.025612496949731396,0.013543640136718703,0.002137306511201256,30
deception,0.9239999999999999,0.029732137494636993,0.9281881401256569,0.026934493593306547,0.8855774750520883,0.04013907052841152,0.9760000000000001,0.01959591794226544,0.128,0.04969238707622459,0.9760000000000001,0.01959591794226544,0.01339226182301834,0.002077850560998702,30
nymaim,0.6940000000000001,0.04708856903042747,0.6252634844444297,0.06914647743975103,0.8026690853324782,0.06680435724337176,0.5159999999999999,0.07735631842325487,0.128,0.04969238707622459,0.5159999999999999,0.07735631842325487,0.013462482134501092,0.0020750486857735464,30
bigviktor,0.8066666666666666,0.03645392830531283,0.7897025878618994,0.041989454062832485,0.864865622873919,0.04696549769521325,0.7286666666666667,0.05530119548637462,0.11533333333333334,0.043415307080439836,0.7286666666666667,0.05530119548637462,0.013347988605499222,0.00196069651068163,30
pizd,0.9206666666666667,0.025940101944458272,0.9236007916541699,0.024876518740261474,0.8938074960197425,0.03643422111413359,0.9566666666666668,0.029702225879927283,0.11533333333333334,0.043415307080439836,0.9566666666666668,0.029702225879927283,0.01360379934310908,0.0020215810621253003,30
ngioweb,0.8346666666666666,0.03480740661921763,0.8255443874131654,0.03857205297046482,0.8733179270988394,0.04374083742456991,0.7846666666666665,0.05129868960856169,0.11533333333333334,0.043415307080439836,0.7846666666666665,0.05129868960856169,0.013643722375233924,0.0021182393323434918,30
