family,accuracy_mean,accuracy_std,f1_mean,f1_std,precision_mean,precision_std,recall_mean,recall_std,fpr_mean,fpr_std,tpr_mean,tpr_std,query_time_mean,query_time_std,total_runs
matsnu,0.8563333333333334,0.06041431029887612,0.8336472597551914,0.08443497981683129,0.9490820210010151,0.03216243854966946,0.7553333333333334,0.13172530339898844,0.04266666666666667,0.029992591677871983,0.7553333333333334,0.13172530339898844,0.6777297012011211,0.11042876911554377,30
suppobox,0.669,0.08223340764758162,0.5136259117862897,0.1733303558948177,0.894628620486564,0.07690765187252585,0.3806666666666666,0.16958642503324242,0.04266666666666667,0.029992591677871983,0.3806666666666666,0.16958642503324242,0.6718647643725078,0.09884892126732647,30
charbot,0.676,0.03372437298651129,0.5322355684895633,0.0685507344652103,0.9466266541684834,0.04133311236339012,0.3733333333333334,0.06538773245460922,0.021333333333333336,0.017074997966487596,0.3733333333333334,0.06538773245460922,0.6683453007539113,0.09342225295888797,30
gozi,0.7020000000000001,0.030594117081556696,0.5855683642282069,0.059257979586901335,0.9535399765021008,0.03894865224409155,0.42533333333333334,0.06042810236599818,0.021333333333333336,0.017074997966487596,0.42533333333333334,0.06042810236599818,0.6603012044429778,0.09221562038156851,30
manuelita,0.5906666666666667,0.03802922852520443,0.34481229739953345,0.11177452701549911,0.847306971494278,0.0853220019386828,0.224,0.08708616422830898,0.04266666666666667,0.029992591677871983,0.224,0.08708616422830898,0.6741400054295856,0.10833246974227452,30
rovnix,0.621,0.02913760456866694,0.40687815109055225,0.06981809498382514,0.9265214981807052,0.058482209316071475,0.26333333333333336,0.057057475895412296,0.021333333333333336,0.017074997966487596,0.26333333333333336,0.057057475895412296,0.6350465006828309,0.0868444425536369,30
deception,0.8509999999999998,0.036363901514184824,0.8275134509257802,0.04815094795246937,0.9712496503544493,0.023195284908723454,0.7233333333333334,0.06774133810967191,0.021333333333333336,0.017074997966487596,0.7233333333333334,0.06774133810967191,0.6440952096780141,0.09152225596809474,30
nymaim,0.5939999999999999,0.03241398874971525,0.33560091371831663,0.08668844428159109,0.9044187022128198,0.07967177945030704,0.20933333333333332,0.06464948225280351,0.021333333333333336,0.017074997966487596,0.20933333333333332,0.06464948225280351,0.6205619146029154,0.08572026693295619,30
bigviktor,0.6913333333333334,0.0413709506242672,0.7171166166868819,0.03955282768126732,0.6621485450069202,0.0367083542482216,0.7840000000000001,0.057827329179203836,0.4013333333333334,0.057950170165601944,0.7840000000000001,0.057827329179203836,0.711621342420578,0.26606211256631884,30
pizd,0.46066666666666667,0.04202644669993197,0.36884011620996304,0.06082536383347992,0.4435349089915349,0.06575073493625258,0.3173333333333333,0.05926962872238098,0.396,0.05919459434779496,0.3173333333333333,0.05926962872238098,0.6628838262557982,0.25253933259627387,30
ngioweb,0.782,0.03218695387886216,0.8154282708397037,0.024864762113937833,0.7085592034956557,0.02970151873325686,0.9613333333333335,0.028720878971384017,0.3973333333333333,0.055553777749332414,0.9613333333333335,0.028720878971384017,0.706244064807892,0.2930249691951,30
