family,accuracy_mean,accuracy_std,f1_mean,f1_std,precision_mean,precision_std,recall_mean,recall_std,fpr_mean,fpr_std,tpr_mean,tpr_std,query_time_mean,query_time_std,total_runs
matsnu,0.9610000000000001,0.018502252115170554,0.9609066438650934,0.01851431796487536,0.9645216317619951,0.026663988651658883,0.9580000000000001,0.02495328969628386,0.03600000000000001,0.028,0.9580000000000001,0.02495328969628386,0.03735485625267024,0.02975015463083779,30
suppobox,0.9646666666666667,0.023767391293301177,0.9643294688913518,0.02480791088666791,0.964992803220959,0.02635012569666022,0.9653333333333335,0.04499876541516321,0.03600000000000001,0.028,0.9653333333333335,0.04499876541516321,0.02907821559906001,0.005956581613777182,30
charbot,0.8143333333333336,0.03584069691782729,0.7803215843112202,0.047830379636112134,0.9492583808219898,0.038846265500688655,0.6646666666666667,0.06124994331063137,0.03600000000000001,0.028,0.6646666666666667,0.06124994331063137,0.026308068195978754,0.003063720920219877,30
gozi,0.7833333333333333,0.0729078566106257,0.725265937057507,0.10371780968537915,0.9462104097610451,0.03743957520479672,0.6026666666666665,0.15524031549683073,0.03600000000000001,0.028,0.6026666666666665,0.15524031549683073,0.0266846370697021,0.004034254129942945,30
manuelita,0.529,0.02700000000000001,0.16373114837522085,0.07312664892697104,0.7109884559884561,0.21950289419147195,0.09400000000000003,0.04446721638840611,0.03600000000000001,0.028,0.09400000000000003,0.04446721638840611,0.026382773081461544,0.0031843475382096332,30
rovnix,0.9723333333333333,0.01646882576938085,0.9725761654463907,0.016370106684600396,0.9654524632574896,0.025958500249314405,0.9806666666666666,0.025551690528982405,0.03600000000000001,0.028,0.9806666666666666,0.025551690528982405,0.02644641145070389,0.0033386582791483815,30
deception,0.9799999999999999,0.014142135623730963,0.9804833835029765,0.013594260891466477,0.9658336814936888,0.025770207364137994,0.9960000000000001,0.008000000000000007,0.03600000000000001,0.028,0.9960000000000001,0.008000000000000007,0.02631170479456579,0.00318253423280492,30
nymaim,0.8200000000000001,0.031198290551460228,0.7887110781449854,0.04107389316727019,0.9505400814552668,0.03694047744703495,0.6759999999999999,0.05425863986500215,0.03600000000000001,0.028,0.6759999999999999,0.05425863986500215,0.026197536547978673,0.0028065912647291845,30
bigviktor,0.7406666666666666,0.04106363625182533,0.6633251368989812,0.0669156915224064,0.935242326213383,0.049728738711797296,0.5173333333333333,0.07406903686576613,0.03600000000000001,0.028,0.5173333333333333,0.07406903686576613,0.026232970158259032,0.003202821202823791,30
pizd,0.9030000000000001,0.033580748453044734,0.8956360080705242,0.03824536614857361,0.959954376142401,0.030539454445524618,0.842,0.06352952069707436,0.03600000000000001,0.028,0.842,0.06352952069707436,0.02653296120961502,0.003406326487539011,30
ngioweb,0.5756666666666665,0.023900255693657783,0.3046140688144139,0.05511234308469938,0.8464431456343221,0.11064691445008158,0.18733333333333338,0.03982740541665026,0.03600000000000001,0.028,0.18733333333333338,0.03982740541665026,0.026545963764190626,0.00308663107349076,30
