family,accuracy_mean,accuracy_std,f1_mean,f1_std,precision_mean,precision_std,recall_mean,recall_std,fpr_mean,fpr_std,tpr_mean,tpr_std,query_time_mean,query_time_std,total_runs
matsnu,0.9493333333333333,0.022350739485653602,0.9515110371606994,0.021155328037346374,0.9175907971981633,0.033387592219959725,0.9886666666666667,0.016069294390925283,0.09000000000000002,0.03785938897200183,0.9886666666666667,0.016069294390925283,0.02756638542811071,0.004179836647030221,30
suppobox,0.9496666666666665,0.02089391192561975,0.9518309487603268,0.019740120303508652,0.917759031387748,0.03324894509353923,0.9893333333333333,0.017688665548562146,0.09000000000000002,0.03785938897200183,0.9893333333333333,0.017688665548562146,0.026292209466298375,0.0030333762266243664,30
charbot,0.8883333333333334,0.02956161174376136,0.8855758007503292,0.03095252213122831,0.907253977672527,0.03759567136594193,0.8666666666666666,0.04628414655389275,0.09000000000000002,0.03785938897200183,0.8666666666666666,0.04628414655389275,0.02597529284159338,0.0030916023087306146,30
gozi,0.905,0.027778888866667562,0.9041250795586835,0.029017527844905813,0.9106979697600911,0.03605657797458924,0.8999999999999998,0.05059644256269407,0.09000000000000002,0.03785938897200183,0.8999999999999998,0.05059644256269407,0.026197407166163082,0.0033764757725947775,30
manuelita,0.6066666666666667,0.036908294761777094,0.4312322330269661,0.07792471954383458,0.7743776586487622,0.08160541278539671,0.30333333333333334,0.07212643220222544,0.09000000000000002,0.03785938897200183,0.30333333333333334,0.07212643220222544,0.025974474509557043,0.0033952091990207952,30
rovnix,0.9526666666666664,0.02080598204576964,0.9549007991309908,0.019510274941313768,0.9181411077252443,0.03307121060979036,0.9953333333333334,0.009910712498212347,0.09000000000000002,0.03785938897200183,0.9953333333333334,0.009910712498212347,0.025823830127716017,0.0033842810561991042,30
deception,0.9549999999999998,0.018929694486000917,0.9572560977850831,0.017574460800107747,0.9185687535956243,0.032772308599238686,1.0,0.0,0.09000000000000002,0.03785938897200183,1.0,0.0,0.02577418136596675,0.0032657727575813936,30
nymaim,0.8993333333333334,0.026699979192667717,0.8982928801390455,0.02694731156439913,0.9091964263812558,0.03705988049073029,0.8886666666666666,0.032530327730015615,0.09000000000000002,0.03785938897200183,0.8886666666666666,0.032530327730015615,0.025751306215921994,0.0033051566251785613,30
bigviktor,0.7979999999999998,0.03969886648255841,0.7718087204695897,0.04838511317060769,0.883872940884317,0.047401319016939635,0.6873333333333332,0.06271274901396756,0.09133333333333335,0.040557229798013676,0.6873333333333332,0.06271274901396756,0.03465754652023312,0.038570175988507954,30
pizd,0.9356666666666666,0.022757172251597686,0.9375261017686031,0.021389804573504676,0.9147375564598852,0.03415835039900201,0.9626666666666668,0.027194770739161517,0.09133333333333335,0.040557229798013676,0.9626666666666668,0.027194770739161517,0.039326472759246785,0.011724298982410295,30
ngioweb,0.7613333333333333,0.04470147897130723,0.7176681258956336,0.0638401979520094,0.871548440747427,0.05042582548173392,0.6140000000000001,0.0785111457055621,0.09133333333333335,0.040557229798013676,0.6140000000000001,0.0785111457055621,0.03308534137407934,0.0074060990871559875,30
