Family,Accuracy Mean,Accuracy Std Dev,F1 Score Mean,F1 Score Std Dev,Precision Mean,Precision Std Dev,Recall Mean,Recall Std Dev,FPR Mean,FPR Std Dev,TPR Mean,TPR Std Dev,Query Time Mean,Query Time Std Dev
matsnu,0.9126666666666667,0.02235073948565361,0.9067347257985426,0.024655829906856965,0.9707681207919034,0.025046099893144207,0.8513333333333333,0.03413046862978721,0.026000000000000006,0.022597935008904387,0.8513333333333333,0.03413046862978721,1.392021376689275,1.065117225642225
suppobox,0.8486666666666666,0.059426892528177476,0.8213718089828947,0.08179245698682258,0.9667129583340853,0.025003624037299898,0.722,0.11711532777565883,0.02466666666666667,0.018390818965511632,0.722,0.11711532777565883,1.39171093471845,1.2404774542294714
charbot,0.7533333333333333,0.03552776691859796,0.6830339957995305,0.05356684507782219,0.9491734506807272,0.04361594820416398,0.5353333333333334,0.05857948066990314,0.02866666666666667,0.02513076909996102,0.5353333333333334,0.05857948066990314,1.3969499710400903,1.2512397829705428
gozi,0.8390000000000001,0.03832753579347359,0.8109044735371823,0.05292598364033113,0.9685010237005796,0.026755596682381894,0.702,0.08072174428244225,0.024000000000000007,0.02215099696778153,0.702,0.08072174428244225,1.4061084049542745,1.2815961963001299
manuelita,0.5783333333333335,0.02281568661153012,0.29741029909819106,0.06431207649401724,0.8867967217967219,0.08050110872619276,0.18066666666666664,0.04516143881183985,0.024000000000000007,0.020912516188477497,0.18066666666666664,0.04516143881183985,1.3874760721524553,1.2617350800002956
rovnix,0.9643333333333332,0.016468825769380833,0.963996826370772,0.016636761622790902,0.9726203544176938,0.020958922540553728,0.9560000000000002,0.02388863048955855,0.027333333333333334,0.021592179654268864,0.9560000000000002,0.02388863048955855,1.4727956229050954,1.4615078281107643
deception,0.9789999999999999,0.017000000000000015,0.978973025914036,0.01701339134399581,0.9801735206903274,0.01957808952506061,0.978,0.020231987873991365,0.020000000000000004,0.02,0.978,0.020231987873991365,1.50914234662056,1.693048353282883
nymaim,0.6839999999999998,0.03826225293941797,0.5506571197683718,0.07685480659669866,0.9407122894282911,0.04940540264895631,0.3940000000000001,0.07765736711134796,0.026000000000000006,0.024303634844744244,0.3940000000000001,0.07765736711134796,1.3498971687952674,1.2174451801774706
bigviktor,0.619,0.029816103031751164,0.4021936510507034,0.06498371528109674,0.9254995059406824,0.07957639508521147,0.25866666666666666,0.050841802573166985,0.02066666666666667,0.020319667538837564,0.25866666666666666,0.050841802573166985,1.365387910604477,1.0023594293936855
pizd,0.8566666666666667,0.037088482788536326,0.834990500820402,0.04925744588592252,0.9709986065404022,0.026181766579789028,0.7360000000000002,0.07418894796396563,0.022666666666666672,0.02112397269033981,0.7360000000000002,0.07418894796396563,1.383966067234675,1.1005607287390204
ngioweb,0.8956666666666667,0.029403325586667167,0.8856276836705254,0.03486737527415262,0.9733441122302681,0.0271667025077799,0.8140000000000001,0.051935857876166176,0.02266666666666667,0.022350739485653612,0.8140000000000001,0.051935857876166176,1.42315182073911,1.3354008422050945
